index	Gp
646	-20.7922
647	-20.6471
648	-20.5030
649	-20.3599
650	-20.2178
651	-20.0767
652	-19.9366
653	-19.7975
654	-19.6593
655	-19.5221
656	-19.3859
657	-19.2506
658	-19.1162
659	-18.9828
660	-18.8503
661	-18.7187
662	-18.5881
663	-18.4584
664	-18.3296
665	-18.2016
666	-18.0746
667	-17.9485
668	-17.8232
669	-17.6988
670	-17.5753
671	-17.4526
672	-17.3308
673	-17.2099
674	-17.0898
675	-16.9705
676	-16.8520
677	-16.7344
678	-16.6176
679	-16.5017
680	-16.3865
681	-16.2721
682	-16.1586
683	-16.0458
684	-15.9338
685	-15.8226
686	-15.7122
687	-15.6025
688	-15.4936
689	-15.3855
690	-15.2781
691	-15.1715
692	-15.0656
693	-14.9605
694	-14.8561
695	-14.7524
696	-14.6494
697	-14.5472
698	-14.4457
699	-14.3448
700	-14.2447
701	-14.1453
702	-14.0466
703	-13.9486
704	-13.8512
705	-13.7545
706	-13.6585
707	-13.5632
708	-13.4686
709	-13.3746
710	-13.2812
711	-13.1885
712	-13.0965
713	-13.0051
714	-12.9143
715	-12.8242
716	-12.7347
717	-12.6458
718	-12.5576
719	-12.4699
720	-12.3829
721	-12.2965
722	-12.2106
723	-12.1254
724	-12.0408
725	-11.9568
726	-11.8733
727	-11.7905
728	-11.7082
729	-11.6265
730	-11.5453
731	-11.4647
732	-11.3847
733	-11.3053
734	-11.2264
735	-11.1480
736	-11.0702
737	-10.9930
738	-10.9162
739	-10.8400
740	-10.7644
741	-10.6893
742	-10.6147
743	-10.5406
744	-10.4670
745	-10.3940
746	-10.3214
747	-10.2494
748	-10.1779
749	-10.1068
750	-10.0363
751	-9.9663
752	-9.8967
753	-9.8276
754	-9.7590
755	-9.6909
756	-9.6233
757	-9.5561
758	-9.4894
759	-9.4232
760	-9.3574
761	-9.2921
762	-9.2273
763	-9.1629
764	-9.0989
765	-9.0354
766	-8.9724
767	-8.9098
768	-8.8476
769	-8.7858
770	-8.7245
771	-8.6636
772	-8.6032
773	-8.5431
774	-8.4835
775	-8.4243
776	-8.3655
777	-8.3071
778	-8.2491
779	-8.1916
780	-8.1344
781	-8.0776
782	-8.0212
